0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0.42168617,0.37720078,0.5392795,-0.20288086,-0.26335382,-0.46175596,0.35891226,0.14751941,-0.22698796,0.4597228,-0.11391825,-0.044625353,-0.36568505,-0.41499096,-0.16895466,-0.18987013,-0.042634934,-0.4219471,0.39131078,-0.118668206,0.055848632,-0.55000776,0.34360576,0.26787814,0.015433506,0.11729422,-0.12957935,-0.1956938,-0.24426314,0.01803295,-0.54029053,0.10830834,0.21703105,-0.36713868
-0.2687963,-0.17111515,0.01854209,-0.30214518,-0.3544375,0.19076078,0.059726,0.030040856,0.057851464,-0.19097273,0.14675562,-0.23130183,-0.11980646,0.2690111,-0.41931632,-0.13461287,0.14983815,0.022577787,-0.1196738,-0.28418124,-0.2991848,0.22675675,0.076464936,-0.05177617,0.06788021,-0.104710154,0.031180607,-0.2526114,-0.11780279,0.2087084,-0.25376943,-0.014404019,0.09923069,-0.02057942
0.1481127,0.17105144,0.7629525,0.49464765,-0.33033663,0.24414055,0.7439768,-0.32342437,0.3231185,0.40962565,0.6793456,0.08513216,-0.5132325,0.16713507,0.26410437,-0.04968024,0.036201958,0.66649485,0.92821145,0.51580405,-0.3090161,0.11883213,0.7924032,-0.063268736,0.44187558,0.35578597,0.68562126,0.14015372,-0.49965653,0.2795455,0.13830248,-0.034821138,-0.1487083,0.7935919
0.32416573,0.45148408,-0.32359856,0.10869117,0.1473542,0.03564036,0.46025625,-0.28038433,-0.23752627,0.64051366,-1.177709,0.4214231,0.583946,-0.28242972,0.11512434,0.2397723,-0.16543652,0.7510221,-0.25033897,-0.026245648,0.15189572,0.32745233,0.5846986,-0.32529116,-0.40707803,0.69694483,-1.3137177,0.5472469,0.65308857,-0.4520824,0.080054656,0.23323156,-0.11241404,0.78677875
0.46573165,0.5599916,-0.047017716,0.70549613,0.5692614,-0.2918226,-1.0958122,-0.2808787,0.5528257,-0.23441748,-0.058568068,0.31099877,-0.10450086,0.6047363,0.4419221,-0.014951937,0.108542964,-0.27023435,-0.0354554,0.63538647,0.738084,-0.14683333,-1.0014422,-0.42154855,0.5084211,-0.23943709,-0.057932533,0.35294446,-0.08817756,0.6039535,0.43044436,0.015626848,0.09011939,-0.2822553
0.11392462,0.17979114,0.16829993,0.09972098,0.014606827,-0.30415723,0.25481677,0.0139543135,-0.8705144,0.32061303,0.06982617,0.015384934,-0.52645063,0.15189098,-0.54245275,0.1434084,-0.24067894,0.8286527,0.39523542,0.11832049,0.025365198,-0.23664449,0.36470592,-0.16137756,-0.6893482,0.17308766,0.09893228,0.017126026,-0.8451685,0.036026474,-0.549222,0.25454974,-0.20043798,0.6050813
0.4237866,0.55547625,0.36130944,0.23934235,-0.39153683,0.4701599,-0.11606322,-0.5577441,0.43203476,0.12632114,0.5921526,-0.38630828,0.33942848,0.24357125,-0.5565183,0.5578103,0.25668323,0.48344254,0.2845646,0.2806149,-0.42263085,0.48437998,-0.11947941,-0.6269457,0.33503503,0.008701618,0.6654307,-0.27685526,0.2681516,0.07452493,-0.53052855,0.61335665,0.25632536,0.39577863
0.88479483,0.932472,0.3853035,0.7284781,-0.53719467,-0.73348606,0.51369554,0.53223926,-0.14352447,0.40407488,-1.15409,0.7648647,0.1569815,-0.20384012,0.8437067,-0.997689,0.26831454,0.30326083,0.28297466,0.74198675,-0.5428624,-0.7263469,0.5111134,0.44285762,-0.22724864,0.5810501,-1.2622381,0.8882825,0.13465509,-0.22485243,0.8743531,-1.0079724,0.22066578,0.31204635
-0.1945802,-0.1514129,0.10311868,-0.27050468,-0.47777104,-0.043022078,-0.0982639,0.056112587,-0.10455877,-0.10253813,0.037445836,-0.17035243,0.032528687,0.17781706,-0.38945505,0.10207304,0.043381166,-0.17240651,0.06612986,-0.23770684,-0.4420458,-0.04554941,-0.012993433,0.12926133,-0.16786711,-0.07932435,0.155818,-0.14569803,0.09752866,0.18862218,-0.47216055,0.07661475,0.21513227,-0.07423006
0.3408391,0.40869498,-0.023207575,-0.016185002,-0.105817035,0.33229715,-0.24599569,-0.6763654,-0.34919158,0.67602676,0.39765108,0.15264207,0.6317964,-0.077742405,-0.067950405,-0.07172108,0.268297,-0.6853334,-0.220774,0.05440335,-0.08053955,0.3890787,-0.26669177,-0.77566963,-0.28137088,0.8058184,0.28683278,0.27628195,0.687948,-0.10524996,0.025733508,-0.040911485,0.34637046,-0.62820953
0.2537195,0.30390707,0.2730036,-0.01902925,-0.2869299,0.31594324,-0.40870932,-0.65077287,0.20297,0.29002598,-0.4630165,0.40635377,0.057777777,0.45409796,0.20836088,-0.06911442,0.16477612,-0.18341783,-0.0015853987,0.06643661,-0.33479264,0.16659744,-0.43198276,-0.7665743,0.19850795,0.40573815,-0.40371966,0.35935816,0.049801074,0.48417348,0.18293746,0.04434389,0.33696523,-0.038398568
-0.16901451,-0.2043895,0.39220312,-0.27875677,-0.14641573,0.0069046444,-0.2114409,-0.1954515,-0.52197045,-0.06457743,-0.11592297,0.121766426,-0.09016203,0.13847664,-0.033362668,-0.09782757,-0.28805873,-0.41723028,0.4437211,-0.21548669,-0.037353754,0.13307841,-0.21696298,-0.0003562423,-0.32225022,-0.05982684,-0.2440143,0.12463222,-0.073362,0.22551607,-0.051336527,0.04676056,-0.32699728,-0.33343485
-0.18215741,-0.13746591,0.28309458,-0.14944512,0.15753499,-0.23594202,-0.20031352,-0.25185272,0.06481289,-0.010514394,0.02984199,-0.044016372,-0.096889876,-0.03539124,-0.14597857,0.060312733,0.2193715,-0.12514581,0.09584377,-0.07985335,0.10022222,-0.21031661,-0.068442844,-0.21742591,0.04390082,-0.12626213,0.02672299,0.056156386,-0.22995709,0.07351027,-0.18602586,0.044100273,0.25443077,0.05217988
-0.015782587,-0.008930976,0.01564163,-0.08944476,-0.3955313,0.12571324,-0.43598205,-0.15868485,0.31602198,-0.17759213,-0.33659422,0.0016057323,0.17068875,0.19024473,-0.4064716,-0.28753126,-0.3410056,0.040583584,0.019235361,-0.18726912,-0.4013611,0.10017765,-0.47402292,-0.1126834,0.20283042,-0.14723581,-0.28505963,-0.0258979,0.21523815,0.15820256,-0.44913045,-0.30448774,-0.2728873,0.19529748
-0.13271335,-0.077401794,-0.015546024,-0.03317298,0.15804061,-0.18232386,-0.11471918,-0.33317605,-0.061677165,-0.2271113,0.052165747,0.054662775,0.09872767,-0.35132664,-0.07078452,0.0394469,-0.20287515,0.08554229,0.0126088215,0.16183485,0.22007766,0.15629064,-0.124420814,-0.4803022,-0.36057904,-0.34804434,-0.028543396,0.03141889,0.10635673,-0.19499506,0.1716904,0.07364545,-0.20781396,0.15623873
0.06252757,0.226998,-0.08333105,0.17444575,-0.6018938,0.43015027,0.32537615,-0.27060986,-0.42296457,0.026219588,0.29563463,0.6479371,-0.31214485,-0.23459736,0.50878274,-0.5552467,0.3288145,-0.06029711,-0.14026608,0.16929053,-0.63471824,0.5806527,0.4346046,-0.23164932,-0.38223368,0.13765667,0.24162447,0.69854575,-0.17491798,-0.33810395,0.5846926,-0.4965237,0.5303181,-0.07959135
